ts,mode,audio_file,latency_ms,text
2026-02-18T04:42:15,record,latest.wav,3262.78,
2026-02-18T04:42:33,record,latest.wav,3160.56,What is my balance?
2026-03-16T10:48:39,record,latest.wav,4836.43,Thank you.
2026-03-16T10:52:00,record,latest.wav,4775.73,What is my balance?
2026-03-16T10:53:15,record,latest.wav,4122.62,What is my last transaction?
2026-03-16T10:54:23,record,latest.wav,3906.92,What is my account balance?
2026-03-16T10:54:57,record,latest.wav,3987.64,
2026-03-16T10:55:14,record,latest.wav,4124.05,Show my recent transactions.
2026-03-16T10:55:36,record,latest.wav,4150.10,Show my recent transactions.
2026-03-16T10:56:24,record,latest.wav,4368.16,Transfer money to my savings account.
2026-03-16T10:57:02,record,latest.wav,4278.62,Show my recent payments.
2026-03-16T10:57:55,record,latest.wav,3890.77,you
2026-03-16T10:58:14,record,latest.wav,4158.67,When is my credit card payment due?
2026-03-16T10:58:43,record,latest.wav,4263.96,When is my credit card payment due?
2026-03-16T10:59:46,record,latest.wav,4094.61,Check my account balance.
2026-03-16T11:00:36,record,latest.wav,4087.07,Transfer money to John.
2026-03-16T11:01:34,record,latest.wav,4177.72,Open my back statement.
2026-03-16T11:02:13,record,latest.wav,4163.59,What is my lounge status?
2026-03-16T11:02:28,record,latest.wav,3985.76,Where is my launch status?
2026-03-16T11:03:18,record,latest.wav,4033.43,What is my savings balance?
2026-03-16T11:03:38,record,latest.wav,4040.82,What's my savings account balance?
