file,n_runs,mean_latency_ms,median_latency_ms,p95,p99,best_ms,worst_ms,canonical_transcript,reference,wer
atm_limit_01.wav,3,5842.731000000005,5824.793600000021,5996.691439999998,6011.971247999995,5687.6082,6015.791199999995,How much money can I take out at the ATM?,how much money can I take out at the ATM,0.0
atm_limit_02.wav,3,5644.211499999993,5591.510400000005,5742.164639999976,5755.556127999974,5582.2201000000005,5758.903999999973,How much money can I withdraw at the ATM?,how much money can I withdraw at the ATM,0.0
atm_limit_03.wav,3,5409.825533333324,5455.040099999991,5510.166089999984,5515.066177999984,5258.145299999996,5516.291199999983,What is my limit at the ATM?,what is my limit at the ATM,0.0
balance_01.wav,3,5306.488833333333,5365.31930000001,5418.649430000005,5423.3898860000045,5129.572199999984,5424.575000000004,Can I see my count Bella?,can you see my account balance,0.5
balance_02.wav,3,5417.3639333333485,5431.160200000022,5437.989220000006,5438.596244000005,5382.1836000000185,5438.748000000004,What is my account balance?,what is my account balance,0.0
balance_03.wav,3,5976.636766666673,6188.532800000019,6235.301749999962,6239.458989999957,5500.879200000043,6240.498299999956,show me my account balance.,show me my account balance,0.0
balance_04.wav,3,6611.267566666678,6694.024000000013,6913.144030000012,6932.621366000012,6202.28800000001,6937.490700000012,I would like to know what my current account balance shows.,I would like to know what my current account balance shows,0.0
balance_05.wav,3,5557.607000000019,5605.937900000015,5626.914560000035,5628.779152000036,5437.637800000004,5629.245300000037,What's my current balance?,what's my current balance,0.0
balance_06.wav,3,5494.960699999998,5516.926800000021,5574.933059999967,5580.089171999962,5386.577100000011,5581.378199999961,Account Balance.,account balance,0.0
balance_07.wav,3,5848.136233333359,5858.524700000033,5926.895450000024,5932.972850000023,5751.391800000021,5934.492200000022,Show me my account balance please.,show me my account balance please,0.0
balance_08.wav,3,5705.119000000006,5700.370700000008,5726.29061000003,5728.594602000032,5685.815699999977,5729.170600000032,Show me my account balance.,show me my account balance,0.0
balance_09.wav,3,5818.193200000015,5809.576600000014,5851.921780000014,5855.685796000014,5788.376200000016,5856.626800000015,Could I see my account balance please?,can I see my account balance please,0.14285714285714285
balance_10.wav,3,6072.693533333336,6050.870099999997,6118.0587899999755,6124.0311179999735,6041.686300000038,6125.524199999973,You show me my Kermit help balance.,show me my current account balance,0.5
card_issues_01.wav,3,5844.9261333333125,5867.636699999992,5868.379289999979,5868.445297999978,5798.679899999968,5868.461799999977,Why was my card declined?,why was my card declined,0.0
card_issues_02.wav,3,5890.199966666672,5822.740000000011,6005.907819999993,6022.189403999992,5821.600100000012,6026.259799999991,I need help activating my code.,I need help activating my scars,0.16666666666666666
card_issues_03.wav,3,5681.809333333357,5686.3384000000115,5726.515030000013,5730.086286000013,5628.110500000048,5730.979100000013,card not working.,card not working,0.0
card_issues_04.wav,3,6044.57556666667,6140.09980000003,6161.630049999951,6163.543849999944,5829.604600000039,6164.022299999942,My card isn't working.,my card isn't working,0.0
card_issues_05.wav,3,5928.3926666666575,5920.941399999947,5987.570469999946,5993.493053999946,5869.262900000081,5994.973699999946,trying to figure out why my payment was declined.,trying to figure out why my payment was declined,0.0
cash_deposit_01.wav,3,6068.091933333297,6089.96860000002,6104.298039999981,6105.571767999977,6008.416999999895,6105.890199999976,How do I deposit money into my account?,how do I deposit money into my account,0.0
