file,n_runs,mean_latency_ms,median_latency_ms,p95,p99,best_ms,worst_ms,canonical_transcript,reference,wer
atm_limit_01.wav,3,8235.225400000008,8605.547900000005,8637.702560000016,8640.560752000018,7458.853000000005,8641.275300000018,How much money can I take out at the ATM?,how much money can I take out at the ATM,0.0
atm_limit_02.wav,3,7792.232466666661,7880.9984000000095,8314.924939999992,8353.49618799999,7132.559999999984,8363.13899999999,How much money can I withdraw at the ATM?,how much money can I withdraw at the ATM,0.0
atm_limit_03.wav,3,7390.276333333332,7358.210799999995,7503.600130000003,7516.523626000005,7292.863699999998,7519.754500000005,What is my limit at the ATM?,what is my limit at the ATM,0.0
balance_01.wav,3,6958.25339999999,6995.745100000022,7025.1032799999675,7027.712895999963,6850.649799999985,7028.365299999961,Can I see my count Bella?,can you see my account balance,0.5
balance_02.wav,3,6826.058200000015,6836.906100000022,6946.26159,6955.982077999998,6682.856300000026,6958.412199999998,What is my account balance?,what is my account balance,0.0
balance_03.wav,3,7702.373200000011,7397.680100000002,8332.328029999997,8415.407845999996,7273.261700000035,8436.177799999996,Show me my account balance.,show me my account balance,0.0
balance_04.wav,3,9554.708699999992,9567.891999999973,9589.077459999975,9590.960611999975,9504.802700000027,9591.431399999976,I would like to know what my current account balance shows.,I would like to know what my current account balance shows,0.0
balance_05.wav,3,8600.640100000002,8611.392100000046,8798.005480000005,8814.593336000002,8371.78789999996,8818.740300000001,What's my current balance?,what's my current balance,0.0
balance_06.wav,3,7992.3759999999975,8121.70900000001,8221.254760000005,8230.103272000006,7623.1035999999785,8232.315400000005,Account balance.,account balance,0.0
balance_07.wav,3,7467.978333333349,7424.438700000053,7581.098190000006,7595.023478000002,7380.991499999993,7598.504800000001,Show me my account balance please.,show me my account balance please,0.0
balance_08.wav,3,7548.021533333345,7583.058000000051,8090.101890000012,8135.172458000008,6914.566499999978,8146.440100000007,Show me my account balance.,show me my account balance,0.0
balance_09.wav,3,8189.217366666678,8124.08640000001,8316.238020000026,8333.318164000028,8105.9774999999945,8337.588200000027,Could I see my account balance please?,can I see my account balance please,0.14285714285714285
balance_10.wav,3,8334.124333333382,8296.88329999999,8426.070290000087,8437.553578000096,8265.06530000006,8440.424400000098,You show me my current account balance.,show me my current account balance,0.16666666666666666
card_issues_01.wav,3,7965.621066666661,7954.163199999925,7996.942360000048,8000.744952000059,7941.004399999997,8001.695600000062,Why was my card declined?,why was my card declined,0.0
card_issues_02.wav,3,8426.190566666604,8450.287099999969,8500.902559999951,8505.40171199995,8321.758099999897,8506.526499999949,I need help activating my code.,I need help activating my scars,0.16666666666666666
