file,n_runs,mean_latency_ms,median_latency_ms,p95,p99,best_ms,worst_ms,canonical_transcript,reference,wer
atm_limit_01.wav,3,1701.0956666587542,1667.86459996365,1788.829189981334,1799.5815979829058,1633.1527000293136,1802.2696999832988,how much money can i say l at eight pm,how much money can I take out at the ATM,0.4
atm_limit_02.wav,3,1499.0466999976586,1496.898900019005,1527.2753399796784,1529.9754679761827,1469.5906999986619,1530.6504999753088,how much money to withdraw the a m,how much money can I withdraw at the ATM,0.5555555555555556
atm_limit_03.wav,3,1458.544333348982,1466.0399000858888,1483.328000025358,1484.8647200199775,1424.344199942425,1485.2489000186324,what is my limit at the hm,what is my limit at the ATM,0.14285714285714285
balance_01.wav,3,1497.4465666649241,1498.557599959895,1515.2663699933328,1516.751593996305,1476.6592000378296,1517.122899997048,in my count bella,can you see my account balance,0.8333333333333334
balance_02.wav,3,1287.8831333170335,1267.2085999511182,1324.9364899937063,1330.067857997492,1265.0901000015438,1331.3506999984384,what is my account balance,what is my account balance,0.0
balance_03.wav,3,1286.0258333773043,1284.3820999842137,1296.5145500609651,1297.5929900677875,1275.8328000782058,1297.862600069493,show me my account balance,show me my account balance,0.0
balance_04.wav,3,1473.386300029233,1481.9698000792414,1511.1017199931666,1513.6912239855155,1423.8505000248551,1514.3385999836028,i would like to know what my current account balance shows,I would like to know what my current account balance shows,0.0
balance_05.wav,3,1237.9944000082712,1236.9026000378653,1260.2308699744754,1262.3044939688407,1214.257700019516,1262.822899967432,what's my current balance,what's my current balance,0.0
balance_06.wav,3,1149.1882333454366,1147.8863999946043,1159.2138000181876,1160.220680020284,1139.2059000208974,1160.472400020808,account balance,account balance,0.0
balance_07.wav,3,1355.2807667292655,1362.3209000797942,1363.351580069866,1363.4431960689835,1340.0553000392392,1363.466100068763,show me my account balance please,show me my account balance please,0.0
balance_08.wav,3,1373.082666657865,1369.2246000282466,1405.8055499801412,1409.0571899758652,1340.1532999705523,1409.8700999747962,show me my account balance,show me my account balance,0.0
balance_09.wav,3,1764.696433286493,1748.6944999545813,1967.80399994459,1987.280399943702,1553.245299961418,1992.14949994348,it i see my account balance please,can I see my account balance please,0.14285714285714285
balance_10.wav,3,1705.963366626141,1657.8818999696523,1798.8774299621582,1811.410365961492,1645.464599947445,1814.5435999613255,he filled a my current account out,show me my current account balance,0.6666666666666666
card_issues_01.wav,3,1288.3009333551552,1296.3583000237122,1311.0112000140361,1312.313680013176,1255.905200028792,1312.639300012961,one is my card declined,why was my card declined,0.4
card_issues_02.wav,3,1902.063366685373,1611.6128000430763,2455.6895900168456,2530.718638014514,1545.101399999112,2549.475900013931,i need help activating might cause,I need help activating my scars,0.3333333333333333
card_issues_03.wav,3,2034.643733330692,2030.5850999429822,2051.6842499841005,2053.5597299877554,2019.3175000604242,2054.028599988669,hard not working,card not working,0.3333333333333333
card_issues_04.wav,3,2276.6213332458087,2199.369299924001,2447.2240799223073,2469.2556159221567,2155.7311998913065,2474.763499922119,my part of the working,my card isn't working,0.75
card_issues_05.wav,3,2537.7467333649597,2541.3310999283567,2575.0619300757535,2578.0602260888554,2493.099300074391,2578.809800092131,trying to figure out why my payment was declined,trying to figure out why my payment was declined,0.0
cash_deposit_01.wav,3,2512.471833305123,2526.4735999517143,2527.216639951803,2527.2826879518107,2483.642700011842,2527.2991999518126,hardaway deposit money into my account,how do I deposit money into my account,0.375
cash_deposit_02.wav,3,2512.9320666892454,2505.2531000692397,2528.1840200186707,2530.2223240141757,2502.8111999854445,2530.731900013052,would like to deposit money into my account,would you like to deposit money into my account,0.1111111111111111
cash_deposit_03.wav,3,2349.7025000785166,2346.1484001018107,2362.2026000753976,2363.62964007305,2338.9727000612766,2363.986400072463,how do i deposit money into my account,how do I deposit money into my account,0.0
cash_deposit_04.wav,3,2239.776633291816,2152.0395999541506,2408.901849912945,2431.7340499092825,2129.8482000129297,2437.442099908367,can i make a deposit,can I make a deposit,0.0
cash_deposit_05.wav,3,2781.820800000181,2787.8093000035733,2874.7549699852243,2882.4834739835933,2673.2375000137836,2884.4155999831855,i want deposit money into my savings account,hi I want to deposit money into my savings account,0.2
cash_deposit_06.wav,3,2090.3519000081965,2064.259500009939,2205.1554000820033,2217.679480088409,1985.9856999246404,2220.8105000900105,i'd like to make a deposit,I'd like to make a deposit,0.0
cash_deposit_07.wav,3,2791.9924000355727,2780.1659000106156,2843.0360300233588,2848.6244860244915,2745.7897000713274,2850.0216000247747,deposit money into account,deposit money into account,0.0
cash_deposit_08.wav,3,2811.855566687882,2803.9721000241116,2855.124679976143,2859.671575971879,2770.786300068721,2860.808299970813,how can i deposit money,where can I deposit money,0.2
cash_deposit_09.wav,3,2531.788033316843,2546.866099932231,2552.503970009275,2553.005114016123,2495.3676000004634,2553.130400017835,how can i make a deposit,how can I make a deposit,0.0
cash_deposit_10.wav,3,3173.024733356821,3106.5833000466228,3366.715969971847,3389.8388739652,3016.871300060302,3395.6195999635383,i'd like to the power that money into my account,I'd like to deposit money into my account,0.375
latest_transactions_01.wav,3,3055.818566625627,3056.9998999126256,3174.833659979049,3185.3077719849534,2922.529499977827,3187.9262999864295,i'm wrong about recent transaction for my card,tell me about recent transactions on my card,0.5
latest_transactions_02.wav,3,2534.0555666868263,2424.365400103852,2818.063830025494,2853.059246018529,2315.9931999398395,2861.8081000167876,please show me my latest transactions,please show me my latest transactions,0.0
latest_transactions_03.wav,3,2463.2565667076656,2457.524200086482,2476.80454000365,2478.518347996287,2453.298700042069,2478.9467999944463,show me my recent transactions,show me my recent transactions,0.0
pay_bill_01.wav,3,2533.1359666694575,2727.019099984318,2935.823329980485,2954.3837059801444,1913.3650000439957,2959.0237999800593,i think the make a payment on the film,epic to make a payment on the bill,0.5
pay_bill_02.wav,3,2303.7879000185058,2253.9405999705195,2464.345570001751,2483.0482340045273,2169.6992000797763,2487.7239000052214,i want to make an online bill payment,I want to make an online bill payment,0.0
