file_name,language_variety,lang_id,intent_id,intent,transcript,english_transcription,duration,sample_rate,channels,frames,audio_container,audio_subtype,source_index,dataset_path,source_path,sha256,dataset_revision,duration_bucket,is_short_le_4s,source_sha256,source_sample_rate,source_channels,source_frames,source_duration,source_audio_format,source_audio_subtype,audio_format,resampled,downmixed_to_mono
en-AU_abroad_0001.wav,en-AU,2,0,abroad,I need my card abroad can I pay for things when I'm in America,I need my card abroad can I pay for things when I'm in America,7.12,16000,1,113920,WAV,PCM_16,240,en-AU~ABROAD/CA42cffe57133b3a0b3cbdf098f04abf4c_5.wav,en-AU~ABROAD/CA42cffe57133b3a0b3cbdf098f04abf4c_5.wav,35559b58310462c016e1111637b9070f6410eb5d8f5ceb8da170901e88368601,40ce77cb32a384e4d50a568e1ec39ac804019d33,>4–8 s,False,edc3880c8e22c4ad79227786053e5a02fcec6e7c43eb65de214dc7a0191d40f7,8000,1,56960,7.12,WAV,ULAW,WAV,True,False
en-AU_abroad_0002.wav,en-AU,2,0,abroad,I have a bank tide I want to know whether it works abroad can I pay for things when I'm in America,I have a bank tide I want to know whether it works abroad can I pay for things when I'm in America,16.14,16000,1,258240,WAV,PCM_16,241,en-AU~ABROAD/CA2ec50bb617dccf46c236c43edbf0328d_1.wav,en-AU~ABROAD/CA2ec50bb617dccf46c236c43edbf0328d_1.wav,b90967cbfb0a86be000ac0ba88e09d29bb9ef57f9ea2daae25b2e554613b35df,40ce77cb32a384e4d50a568e1ec39ac804019d33,>8 s,False,b5f098a41122f88c47d3f6c6e37a8fbf5a150919debe51c86be94e410f1bc64d,8000,1,129120,16.14,WAV,ULAW,WAV,True,False
en-AU_abroad_0003.wav,en-AU,2,0,abroad,I want to find out if my card work for lime overseas,I want to find out if my card work for lime overseas,5.5,16000,1,88000,WAV,PCM_16,242,en-AU~ABROAD/CA7b76ef9e94f58d367afe0e8673312a13_3.wav,en-AU~ABROAD/CA7b76ef9e94f58d367afe0e8673312a13_3.wav,f9b0c8203d3033c41ccb43a135926f472786201645637e8cf34fa5af980f002e,40ce77cb32a384e4d50a568e1ec39ac804019d33,>4–8 s,True,93350313e19906ff5f6afe0a42a41f65679bb394ec8e678917a3671a93ca3381,8000,1,44000,5.5,WAV,ULAW,WAV,True,False
en-AU_abroad_0004.wav,en-AU,2,0,abroad,I have a question about what happens if I got a check a paper check for Christmas and I need to know what to do with it,I have a question about what happens if I got a check a paper check for Christmas and I need to know what to do with it,10.2,16000,1,163200,WAV,PCM_16,243,en-AU~ABROAD/CA0e4a819dd6e034af8f31d8d8544ab4b3_1.wav,en-AU~ABROAD/CA0e4a819dd6e034af8f31d8d8544ab4b3_1.wav,9cc299b01e5427c9a5ed5dba6b1ed3b08bdff8cef6a4c96507e02a2587cf0513,40ce77cb32a384e4d50a568e1ec39ac804019d33,>8 s,False,d8557fe53a5ffb2eba5f30a12b171901cfaeab8619a6a039f9344695db78fedd,8000,1,81600,10.2,WAV,ULAW,WAV,True,False
en-AU_abroad_0005.wav,en-AU,2,0,abroad,make an Oreo was that I have a card and I want to know whether I can get back to Australia and I,make an Oreo was that I have a card and I want to know whether I can get back to Australia and I,18.34,16000,1,293440,WAV,PCM_16,244,en-AU~ABROAD/CAa13eb37dd9c1432255148ddeaa2e03c6_1.wav,en-AU~ABROAD/CAa13eb37dd9c1432255148ddeaa2e03c6_1.wav,badba0b417a032dadbd3a31a2200f12636e5c9c84fe5b14bf437ec2095fe1794,40ce77cb32a384e4d50a568e1ec39ac804019d33,>8 s,False,8d790d41f2bdc7e82306bccf8f321e0e1e34a1e00fa3a33936ca0b8b231f8577,8000,1,146720,18.34,WAV,ULAW,WAV,True,False
en-AU_abroad_0006.wav,en-AU,2,0,abroad,I have a card from your bank and I need to know if I'm able to use it when I go overseas and if there's going to be a fees to like when I like go and how much is going to cost me I don't want to go buy a lot of fees when I come back,I have a card from your bank and I need to know if I'm able to use it when I go overseas and if there's going to be a fees to like when I like go and how much is going to cost me I don't want to go buy a lot of fees when I come back,22.7,16000,1,363200,WAV,PCM_16,245,en-AU~ABROAD/CA63406491c31c5521f98194b2cc40e1c0_4.wav,en-AU~ABROAD/CA63406491c31c5521f98194b2cc40e1c0_4.wav,1b24ee08483148edcd05a41ef79a5e6a7308aadbc642b761fe533952fc70f1ce,40ce77cb32a384e4d50a568e1ec39ac804019d33,>8 s,False,5e5f8a77209d8f3e9d228b1e9fc77b51b5d04f314082c6d6d181d23c798f2203,8000,1,181600,22.7,WAV,ULAW,WAV,True,False
en-AU_abroad_0007.wav,en-AU,2,0,abroad,ID like to use my card abroad please,ID like to use my card abroad please,5.36,16000,1,85760,WAV,PCM_16,246,en-AU~ABROAD/CAe1dd6628129657bd89ce7442c5a093e5_2.wav,en-AU~ABROAD/CAe1dd6628129657bd89ce7442c5a093e5_2.wav,8d837af288a99b5ead9d17142ea78e7466a0b6ebc2fb15443f2f4d894d094bfa,40ce77cb32a384e4d50a568e1ec39ac804019d33,>4–8 s,True,de32984376338177edcbe767ff523be940da47cab1ac261d97e028296e044d74,8000,1,42880,5.36,WAV,ULAW,WAV,True,False
en-AU_abroad_0008.wav,en-AU,2,0,abroad,I have a card from the bank and I would like to know whether work overseas or not,I have a card from the bank and I would like to know whether work overseas or not,12.64,16000,1,202240,WAV,PCM_16,247,en-AU~ABROAD/CA66140fabbe7417b1700caaf4b650ab5b_4.wav,en-AU~ABROAD/CA66140fabbe7417b1700caaf4b650ab5b_4.wav,855b2852527b8d9924e0a6b8484386b25d539337dea06e16130fb1c1d6827bbd,40ce77cb32a384e4d50a568e1ec39ac804019d33,>8 s,False,2089d5ce5ae8a2d19f3696ce454dcc12da8c7e7cd89e2efbd686ca82187d3713,8000,1,101120,12.64,WAV,ULAW,WAV,True,False
en-AU_abroad_0009.wav,en-AU,2,0,abroad,I have a card that I can use here in Australia and I want to know if I can use it when I'm over seized,I have a card that I can use here in Australia and I want to know if I can use it when I'm over seized,9.7,16000,1,155200,WAV,PCM_16,248,en-AU~ABROAD/CA5b34512cd2ce2f21bbe6473bb45e7f9e_4.wav,en-AU~ABROAD/CA5b34512cd2ce2f21bbe6473bb45e7f9e_4.wav,7391576d5d980b5f8c1b88c0d3db2d4e24035083e166942885d2342879287e54,40ce77cb32a384e4d50a568e1ec39ac804019d33,>8 s,False,34b6d6bce14b62fa2e3278c2fb9dbef8e94929a0be7256dca0e5ec552eaca191,8000,1,77600,9.7,WAV,ULAW,WAV,True,False
en-AU_abroad_0010.wav,en-AU,2,0,abroad,how do I type in the bank and I'll I want to check I can use it overseas,how do I type in the bank and I'll I want to check I can use it overseas,8.88,16000,1,142080,WAV,PCM_16,249,en-AU~ABROAD/CA7e94f8486a0c3109d1ec46f9d6aab429_3.wav,en-AU~ABROAD/CA7e94f8486a0c3109d1ec46f9d6aab429_3.wav,f7aaa5488bf73bfe1ee1687f2bde57d7433526c1ad24fc253647665a728a9608,40ce77cb32a384e4d50a568e1ec39ac804019d33,>8 s,False,f84bb135161f8970dc94f44d48ec80dc1ff6646b3410b428011479bc74bcef3d,8000,1,71040,8.88,WAV,ULAW,WAV,True,False
